"tickers","tickers/_text"
"https://www.nyse.com/quote/XNYS:IVZ","IVZ"
"https://www.nyse.com/quote/XNYS:IRM","IRM"
"https://www.nyse.com/quote/XNYS:JEC","JEC"
"https://www.nyse.com/quote/XNYS:JNJ","JNJ"
"https://www.nyse.com/quote/XNYS:JCI","JCI"
"https://www.nyse.com/quote/XNYS:JOY","JOY"
"https://www.nyse.com/quote/XNYS:JPM","JPM"
"https://www.nyse.com/quote/XNYS:JNPR","JNPR"
"https://www.nyse.com/quote/XNYS:KSU","KSU"
"https://www.nyse.com/quote/XNYS:K","K"
"https://www.nyse.com/quote/XNYS:KEY","KEY"
"http://www.nasdaq.com/symbol/gmcr","GMCR"
"https://www.nyse.com/quote/XNYS:KMB","KMB"
"https://www.nyse.com/quote/XNYS:KIM","KIM"
"https://www.nyse.com/quote/XNYS:KMI","KMI"
"http://www.nasdaq.com/symbol/klac","KLAC"
"https://www.nyse.com/quote/XNYS:KSS","KSS"
"http://www.nasdaq.com/symbol/krft","KRFT"
"https://www.nyse.com/quote/XNYS:KR","KR"
"https://www.nyse.com/quote/XNYS:LB","LB"
"https://www.nyse.com/quote/XNYS:LLL","LLL"
"https://www.nyse.com/quote/XNYS:LH","LH"
"http://www.nasdaq.com/symbol/lrcx","LRCX"
"https://www.nyse.com/quote/XNYS:LM","LM"
"https://www.nyse.com/quote/XNYS:LEG","LEG"
"https://www.nyse.com/quote/XNYS:LEN","LEN"
"https://www.nyse.com/quote/XNYS:LVLT","LVLT"
"https://www.nyse.com/quote/XNYS:LUK","LUK"
"https://www.nyse.com/quote/XNYS:LLY","LLY"
"https://www.nyse.com/quote/XNYS:LNC","LNC"
"http://www.nasdaq.com/symbol/lltc","LLTC"
"https://www.nyse.com/quote/XNYS:LMT","LMT"
"https://www.nyse.com/quote/XNYS:L","L"
"https://www.nyse.com/quote/XNYS:LO","LO"
"https://www.nyse.com/quote/XNYS:LOW","LOW"
"https://www.nyse.com/quote/XNYS:LYB","LYB"
"https://www.nyse.com/quote/XNYS:MTB","MTB"
"https://www.nyse.com/quote/XNYS:MAC","MAC"
"https://www.nyse.com/quote/XNYS:M","M"
"https://www.nyse.com/quote/XNYS:MMM","MMM"
"https://www.nyse.com/quote/XNYS:MNK","MNK"
"https://www.nyse.com/quote/XNYS:MRO","MRO"
"https://www.nyse.com/quote/XNYS:MPC","MPC"
"http://www.nasdaq.com/symbol/mar","MAR"
"https://www.nyse.com/quote/XNYS:MMC","MMC"
"https://www.nyse.com/quote/XNYS:MAS","MAS"
"https://www.nyse.com/quote/XNYS:MA","MA"
"http://www.nasdaq.com/symbol/mat","MAT"
"https://www.nyse.com/quote/XNYS:MKC","MKC"
"https://www.nyse.com/quote/XNYS:MCD","MCD"
"https://www.nyse.com/quote/XNYS:MHFI","MHFI"
"https://www.nyse.com/quote/XNYS:MCK","MCK"
"https://www.nyse.com/quote/XNYS:MJN","MJN"
"https://www.nyse.com/quote/XNYS:MWV","MWV"
"https://www.nyse.com/quote/XNYS:MDT","MDT"
"https://www.nyse.com/quote/XNYS:MRK","MRK"
"https://www.nyse.com/quote/XNYS:MET","MET"
"http://www.nasdaq.com/symbol/mchp","MCHP"
"http://www.nasdaq.com/symbol/mu","MU"
